time,cds
61877,397
61889,397
61900,396
61912,396
61923,396
61934,396
61945,396
61958,396
61969,396
61980,396
61991,396
62003,396
62014,396
62026,396
62038,396
62049,396
62060,396
62071,397
62084,396
62095,396
62106,396
62117,396
62129,396
62140,396
62152,396
62163,397
62175,397
62186,397
62197,396
62209,396
62221,396
62232,435
62243,460
62255,456
62266,415
62277,404
62289,400
62301,399
62312,397
62323,397
62334,397
62346,396
62358,397
62369,396
62381,396
62392,397
62403,396
62415,396
62427,396
62438,396
62449,396
62460,396
62472,396
62484,397
62495,396
62507,396
62518,396
62529,396
62540,397
62553,396
62564,396
62575,396
62586,396
62598,396
62609,396
62621,396
62632,396
62644,396
62655,397
62666,396
62678,396
62690,396
62701,396
62712,396
62724,397
62735,396
62746,396
62758,396
62770,438
62781,462
62792,448
62803,413
62816,404
62827,400
62838,399
62850,399
62861,398
62872,397
62884,397
62896,397
62907,397
62918,397
62929,396
62941,396
62953,397
62964,396
62976,396
62987,396
62998,397
63009,396
63022,396
63033,396
63044,397
63055,396
63067,396
63078,397
63090,396
63101,396
63113,396
63124,396
63135,397
63148,396
63159,397
63170,397
63181,397
63193,396
63204,396
63216,396
63227,396
63239,397
63250,397
63261,397
63272,396
63285,396
63296,397
63307,397
63319,397
63330,397
63341,441
63353,463
63365,446
63376,413
63387,404
63398,400
63410,399
63422,398
63433,397
63444,397
63456,397
63467,397
63478,397
63491,397
63502,397
63513,397
63524,396
63536,396
63548,397
63559,397
63570,397
63582,397
63593,397
63604,397
63617,396
63628,397
63639,396
63650,396
63662,397
63673,397
63685,396
63696,396
63708,397
63719,397
63730,398
63741,396
63754,397
63765,397
63776,396
63788,397
63799,397
63810,397
63822,397
63834,397
63845,397
63856,397
63867,397
63880,444
63891,465
63902,440
63913,412
63925,404
63936,401
63948,399
63960,398
63971,399
63982,397
63993,397
64005,398
64017,397
64028,397
64039,397
64051,397
64062,397
64073,397
64086,397
64097,397
64108,397
64119,399
64131,397
64142,397
64154,397
64165,397
64177,397
64188,397
64199,396
64210,397
64223,396
64234,396
64245,397
64257,397
64268,397
64280,397
64291,397
64303,397
64314,398
64325,397
64336,397
64349,397
64360,397
64371,397
64382,397
64394,397
64405,397
64417,398
64429,398
64440,398
64451,446
64462,466
64474,439
64486,412
64497,404
64508,401
64520,399
64531,398
64542,398
64555,398
64566,397
64577,397
64588,397
64600,397
64612,397
64623,397
64634,397
64646,397
64657,397
64668,397
64680,397
64692,397
64703,397
64714,397
64726,397
64737,397
64749,397
64760,398
64772,397
64783,397
64794,397
64805,399
64818,397
64829,397
64840,397
64851,397
64863,397
64874,397
64886,397
64898,397
64909,397
64920,397
64931,396
64943,397
64955,397
64966,397
64977,402
64989,449
65000,469
65012,433
65024,410
65035,405
65046,401
65057,399
65069,398
65081,398
65092,398
65103,398
65115,397
65126,398
65137,398
65149,397
65161,397
65172,397
65183,397
65195,398
65206,397
65218,397
65229,397
65241,397
65252,397
65263,397
65274,397
65287,397
65298,398
65309,397
65320,397
65332,397
65344,397
65355,397
65367,397
65378,397
65389,398
65400,397
65413,397
65424,398
65435,398
65446,397
65458,397
65469,398
65481,397
65492,398
65504,397
65515,398
65526,398
65538,398
65550,405
65561,451
65572,469
65584,434
65595,411
65606,404
65618,401
65630,399
65641,399
65652,398
65664,398
65675,398
65687,399
65698,398
65710,398
65721,398
65732,398
65744,398
65756,398
65767,398
65778,398
65789,398
65801,399
65813,399
65824,399
65836,399
65847,399
65858,399
65869,400
65882,402
65893,400
65904,401
65915,401
65927,401
65938,401
65950,401
65961,401
65973,401
65984,401
65995,401
66007,401
66019,401
66030,401
66041,401
66053,401
66064,401
66076,401
66087,417
66099,458
66110,476
66121,432
66132,413
66145,406
66156,404
66167,403
66179,402
66190,401
66201,401
66213,401
66225,401
66236,401
66247,401
66258,400
66270,402
66282,400
66293,400
66305,400
66316,400
66327,400
66338,399
66351,399
66362,400
66373,401
66384,400
66396,399
66407,399
66419,400
66430,400
66442,400
66453,400
66464,401
66477,399
66488,400
66499,399
66510,400
66522,400
66533,400
66545,400
66556,400
66568,400
66579,400
66590,400
66601,400
66614,400
66625,400
66636,400
66648,400
66659,420
66670,458
66682,474
66694,430
66705,412
66716,405
66727,403
66739,401
66751,401
66762,401
66774,401
66785,400
66796,400
66808,400
66820,400
66831,400
66842,401
66853,401
66865,399
66877,400
66888,400
66899,400
66911,400
66922,400
66933,400
66946,400
66957,400
66968,400
66979,400
66991,400
67002,399
67014,400
67025,400
67037,400
67048,400
67059,399
67070,399
67083,399
67094,399
